platform,search_keyword,username,content,timestamp,likes,retweets,scraped_at,scraper_version,target_keyword,extraction_date,session_duration,scroll_attempts
twitter,MBG,Adhitya AP,Vaksin untk kuat ngehadepin MBG kapan yes,2025-11-16T06:16:28.000Z,0,0,2025-11-16T13:28:43.545039,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,polisi_musirawas,"Polres Empat Lawang, Sumatera Selatan, dalam menyalurkan menu Makan Bergizi Gratis (MBG), ke penerima manfaat sangat menjaga kualitasnya dengan ketat. Bahkan, Polres Empat Lawang menyediakan alat rapid test dalam menguji menu MBG tersebut untuk mengantisipasi keracunan",2025-11-16T06:16:11.000Z,0,0,2025-11-16T13:28:43.669009,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Young Jinn,"QUICK REMINDER
@multibank_io
's post-TGE $150K USDT campaign ends in 14 days.

they're rewarding quality and consistency, not noise.

stuck on content? talk about:

- $MBG token, buyback, burn flow
- Khabib x 
@MavrykNetwork
 partnership
- 4 pillar model: TradFi, FX, DeFi, RWA",2025-11-16T06:15:41.000Z,0,0,2025-11-16T13:28:43.788467,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,𝕾𝖆𝖙𝖞𝖆 𝕯𝖍𝖆𝖗𝖒𝖆,Dapur mbg siapa tuh?,2025-11-16T06:14:42.000Z,0,0,2025-11-16T13:28:43.987933,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,fire-men,Gw tunggu bantahan dari zulhas dan bos mbg,2025-11-16T06:13:11.000Z,0,0,2025-11-16T13:28:44.220421,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Solaceeeeee,Let’s?? Na me and you won pump $MBG??,2025-11-16T06:11:34.000Z,1,0,2025-11-16T13:28:44.351782,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,MAD LAYER,MBG just started.,2025-11-16T06:11:26.000Z,1,0,2025-11-16T13:28:44.468922,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,mbak yuni,"Survei KPAI: Banyak Anak Enggan Habiskan Menu MBG
simbah-kakung.blogspot.com/2025/11/survei
…",2025-11-16T06:10:00.000Z,0,0,2025-11-16T13:28:44.587349,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,mas iko,"Survei KPAI: Banyak Anak Enggan Habiskan Menu MBG
simbah-kakung.blogspot.com/2025/11/survei
…",2025-11-16T06:09:46.000Z,0,0,2025-11-16T13:28:44.701604,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,아이린Ayin,"Bang, lu cuci tangan nih, baru selesai dibayur air, sedetik kemudian udah ada bakteri lagi. Gak terkecuali di dapur mbg. Bahkan di rs juga banyak

Makanya di lambung kita itu punya asam, buat bunuh mikroorganisme yang masuk lewat kulit, mulut, makanan, gelas, dll.",2025-11-16T06:09:34.000Z,1,0,2025-11-16T13:28:44.826078,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,bung herman jr,"Survei KPAI: Banyak Anak Enggan Habiskan Menu MBG
simbah-kakung.blogspot.com/2025/11/survei
…",2025-11-16T06:09:30.000Z,0,0,2025-11-16T13:28:44.954752,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,OMO승,$MBG looks good here,2025-11-16T06:09:12.000Z,0,0,2025-11-16T13:28:45.072275,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,is_a_force,$MBG holders probably not ready yet for what is being prepared for them Multibank,2025-11-16T06:08:20.000Z,1,0,2025-11-16T13:28:45.179892,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,dino kuning,"MBG sudah terbukti meningkatkan ekonomi 
#MakanBergiziGratis
#DukungMBG
#PemerataanGizi",2025-11-16T06:06:35.000Z,0,0,2025-11-16T13:28:45.334491,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
